AtomicNumber,Element,Symbol,AtomicMass,Neutrons,Protons,Electrons,Period,Group,Phase,Radioactive,Natural,Metal,Nonmetal,Metalloid,Type,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint,Isotopes,Discoverer,Year,SpecificHeat,Shells,Valence,Config,MassNumber
51,Antimony,Sb,121.76,71,51,51,5,15,solid,FALSE,TRUE,FALSE,FALSE,TRUE,Metalloid,1.5,2.05,8.6084,6.69,904.05,1860,29,Early historic times,,0.207,5,5,[Kr] 4d10 5s2 5p3,122
52,Tellurium,Te,127.6,76,52,52,5,16,solid,FALSE,TRUE,FALSE,FALSE,TRUE,Metalloid,1.4,2.1,9.0096,6.23,722.8,1261,29,von Reichenstein,1782,0.202,5,6,[Kr] 4d10 5s2 5p4,128
53,Iodine,I,126.904,74,53,53,5,17,solid,FALSE,TRUE,FALSE,TRUE,FALSE,Halogen,1.3,2.66,10.4513,4.93,386.65,457.4,24,Courtois,1811,0.214,5,7,[Kr] 4d10 5s2 5p5,127
54,Xenon,Xe,131.293,77,54,54,5,18,gas,FALSE,TRUE,FALSE,TRUE,FALSE,Noble Gas,1.2,,12.1298,0.00589,161.45,165.03,31,Ramsay and Travers,1898,0.158,5,8,[Kr] 4d10 5s2 5p6,131
55,Cesium,Cs,132.905,78,55,55,6,1,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Alkali Metal,3.3,0.79,3.8939,1.87,301.7,944,22,Bunsen and Kirchoff,1860,0.242,6,1,[Xe] 6s1,133
56,Barium,Ba,137.327,81,56,56,6,2,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Alkaline Earth Metal,2.8,0.89,5.2117,3.59,1002.15,2170,25,Davy,1808,0.204,6,2,[Xe] 6s2,137
57,Lanthanum,La,138.905,82,57,57,6,3,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Lanthanide,2.7,1.1,5.5769,6.15,1193.15,3737,19,Mosander,1839,0.195,6,0,[Xe] 5d1 6s2,139
58,Cerium,Ce,140.116,82,58,58,6,3,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Lanthanide,2.7,1.12,5.5387,6.77,1071.15,3716,19,Berzelius,1803,0.192,6,0,[Xe] 4f1 5d1 6s2,140
59,Praseodymium,Pr,140.908,82,59,59,6,3,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Lanthanide,2.7,1.13,5.473,6.77,1204.15,3793,15,von Welsbach,1885,0.193,6,0,[Xe] 4f3 6s2,141
60,Neodymium,Nd,144.242,84,60,60,6,3,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Lanthanide,2.6,1.14,5.525,7.01,1289.15,3347,16,von Welsbach,1885,0.19,6,0,[Xe] 4f4 6s2,144
61,Promethium,Pm,145,84,61,61,6,3,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Lanthanide,2.6,1.13,5.582,7.26,1204.15,3273,14,Marinsky et al.,1945,,6,0,[Xe] 4f5 6s2,145
62,Samarium,Sm,150.36,88,62,62,6,3,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Lanthanide,2.6,1.17,5.6437,7.52,1345.15,2067,17,Boisbaudran,1879,0.197,6,0,[Xe] 4f6 6s2,150
63,Europium,Eu,151.964,89,63,63,6,3,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Lanthanide,2.6,1.2,5.6704,5.24,1095.15,1802,21,Demarcay,1901,0.182,6,0,[Xe] 4f7 6s2,152
64,Gadolinium,Gd,157.25,93,64,64,6,3,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Lanthanide,2.5,1.2,6.1501,7.9,1585.15,3546,17,de Marignac,1880,0.236,6,0,[Xe] 4f7 5d1 6s2,157
65,Terbium,Tb,158.925,94,65,65,6,3,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Lanthanide,2.5,1.2,5.8638,8.23,1630.15,3503,24,Mosander,1843,0.182,6,0,[Xe] 4f9 6s2,159
66,Dysprosium,Dy,162.5,97,66,66,6,3,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Lanthanide,2.5,1.22,5.9389,8.55,1680.15,2840,21,de Boisbaudran,1886,0.17,6,0,[Xe] 4f10 6s2,163
67,Holmium,Ho,164.93,98,67,67,6,3,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Lanthanide,2.5,1.23,6.0215,8.8,1743.15,2993,29,Delafontaine and Soret,1878,0.165,6,0,[Xe] 4f11 6s2,165
68,Erbium,Er,167.259,99,68,68,6,3,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Lanthanide,2.5,1.24,6.1077,9.07,1795.15,3503,16,Mosander,1843,0.168,6,0,[Xe] 4f12 6s2,167
69,Thulium,Tm,168.934,100,69,69,6,3,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Lanthanide,2.4,1.25,6.1843,9.32,1818.15,2223,18,Cleve,1879,0.16,6,0,[Xe] 4f13 6s2,169
70,Ytterbium,Yb,173.054,103,70,70,6,3,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Lanthanide,2.4,1.1,6.2542,6.97,1097.15,1469,16,Marignac,1878,0.155,6,0,[Xe] 4f14 6s2,173
71,Lutetium,Lu,174.967,104,71,71,6,3,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Lanthanide,2.3,1.27,5.4259,9.84,1936.15,3675,22,Urbain/ von Welsbach,1907,0.154,6,0,[Xe] 4f14 5d1 6s2,175
72,Hafnium,Hf,178.49,106,72,72,6,4,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,2.2,1.3,6.8251,13.3,2500.15,4876,17,Coster and von Hevesy,1923,0.144,6,0,[Xe] 4f14 5d2 6s2,178
73,Tantalum,Ta,180.948,108,73,73,6,5,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,2.1,1.5,7.5496,16.7,3269.15,5731,19,Ekeberg,1801,0.14,6,0,[Xe] 4f14 5d3 6s2,181
74,Wolfram,W,183.84,110,74,74,6,6,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,2,2.36,7.864,19.3,3680.15,5828,22,J. and F. d'Elhuyar,1783,0.132,6,0,[Xe] 4f14 5d4 6s2,184
75,Rhenium,Re,186.207,111,75,75,6,7,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,2,1.9,7.8335,21,3453.15,5869,21,"Noddack, Berg, and Tacke",1925,0.137,6,0,[Xe] 4f14 5d5 6s2,186
76,Osmium,Os,190.23,114,76,76,6,8,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.9,2.2,8.4382,22.6,3300.15,5285,19,Tennant,1803,0.13,6,0,[Xe] 4f14 5d6 6s2,190
77,Iridium,Ir,192.217,115,77,77,6,9,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.9,2.2,8.967,22.6,2716.15,4701,25,Tennant,1804,0.131,6,0,[Xe] 4f14 5d7 6s2,192
78,Platinum,Pt,195.084,117,78,78,6,10,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.8,2.28,8.9587,21.5,2045.15,4098,32,Ulloa/Wood,1735,0.133,6,0,[Xe] 4f14 5d9 6s1,195
79,Gold,Au,196.967,118,79,79,6,11,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.8,2.54,9.2255,19.3,1337.73,3129,21,Prehistoric,,0.129,6,0,[Xe] 4f14 5d10 6s1,197
80,Mercury,Hg,200.59,121,80,80,6,12,liq,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.8,2,10.4375,13.5,234.43,630,26,Prehistoric,,0.14,6,0,[Xe] 4f14 5d10 6s2,201
81,Thallium,Tl,204.383,123,81,81,6,13,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Metal,2.1,2.04,6.1082,11.9,577.15,1746,28,Crookes,1861,0.129,6,3,[Xe] 4f14 5d10 6s2 6p1,204
82,Lead,Pb,207.2,125,82,82,6,14,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Metal,1.8,2.33,7.4167,11.3,600.75,2022,29,Prehistoric,,0.129,6,4,[Xe] 4f14 5d10 6s2 6p2,207
83,Bismuth,Bi,208.98,126,83,83,6,15,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Metal,1.6,2.02,7.2856,9.81,544.67,1837,19,Geoffroy the Younger,1753,0.122,6,5,[Xe] 4f14 5d10 6s2 6p3,209
84,Polonium,Po,210,126,84,84,6,16,solid,TRUE,TRUE,FALSE,FALSE,TRUE,Metal,1.5,2,8.417,9.32,527.15,1235,34,Curie,1898,,6,6,[Xe] 4f14 5d10 6s2 6p4,210
85,Astatine,At,210,125,85,85,6,17,solid,TRUE,TRUE,FALSE,TRUE,FALSE,Metalloid,1.4,2.2,9.3,7,575.15,610,21,Corson et al.,1940,,6,7,[Xe] 4f14 5d10 6s2 6p5,210
86,Radon,Rn,222,136,86,86,6,18,gas,TRUE,TRUE,TRUE,FALSE,FALSE,Noble Gas,1.3,,10.7485,0.00973,202.15,211.3,20,Dorn,1900,0.094,6,8,[Xe] 4f14 5d10 6s2 6p6,222
87,Francium,Fr,223,136,87,87,7,1,solid,TRUE,TRUE,TRUE,FALSE,FALSE,Alkali Metal,,0.7,4.0727,1.87,300.15,950,21,Perey,1939,,7,1,[Rn] 7s1,223
88,Radium,Ra,226,138,88,88,7,2,solid,TRUE,TRUE,TRUE,FALSE,FALSE,Alkaline Earth Metal,,0.9,5.2784,5.5,973.15,2010,15,Pierre and Marie Curie,1898,,7,2,[Rn] 7s2,226
89,Actinium,Ac,227,138,89,89,7,3,solid,TRUE,TRUE,TRUE,FALSE,FALSE,Actinide,,1.1,5.17,10.1,1323.15,3471,11,Debierne/Giesel,1899,0.12,7,0,[Rn] 6d1 7s2,227
90,Thorium,Th,232.038,142,90,90,7,3,solid,TRUE,TRUE,TRUE,FALSE,FALSE,Actinide,,1.3,6.3067,11.7,2028.15,5061,12,Berzelius,1828,0.113,7,0,[Rn] 6d2 7s2,232
91,Protactinium,Pa,231.036,140,91,91,7,3,solid,TRUE,TRUE,TRUE,FALSE,FALSE,Actinide,,1.5,5.89,15.4,1873.15,4300,14,Hahn and Meitner,1917,,7,0,[Rn] 5f2 6d1 7s2,231
92,Uranium,U,238.029,146,92,92,7,3,solid,TRUE,TRUE,TRUE,FALSE,FALSE,Actinide,,1.38,6.1941,19,1405.15,4404,15,Peligot,1841,0.116,7,0,[Rn] 5f3 6d1 7s2,238
93,Neptunium,Np,237,144,93,93,7,3,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Actinide,,1.36,6.2657,20.5,913.15,4273,153,McMillan and Abelson,1940,,7,0,[Rn] 5f4 6d1 7s2,237
94,Plutonium,Pu,244,150,94,94,7,3,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Actinide,,1.28,6.0262,19.8,913.15,3501,163,Seaborg et al.,1940,,7,0,[Rn] 5f6 7s2,244
95,Americium,Am,243,148,95,95,7,3,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Actinide,,1.3,5.9738,13.7,1267.15,2880,133,Seaborg et al.,1944,,7,0,[Rn] 5f7 7s2,243
96,Curium,Cm,247,151,96,96,7,3,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Actinide,,1.3,5.9915,13.5,1340.15,3383,133,Seaborg et al.,1944,,7,0,[Rn] 5f7 6d1 7s2,247
97,Berkelium,Bk,247,150,97,97,7,3,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Actinide,,1.3,6.1979,14.8,1259.15,983,83,Seaborg et al.,1949,,7,0,[Rn] 5f9 7s2,247
